Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source
ELEC,City of Pasadena - Schoolhouse Garage,33 E Green St,,Pasadena,CA,91105,,626-744-7665,E,,Public,24 hours daily; pay lot,,,,,,3,,,Non-Networked,,200-8,34.144506,-118.150015,2019-05-09,6507,2020-01-21 18:34:38 UTC,LG,,,1997-08-30,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,Free,,,,,,,,,
ELEC,Pasadena Hilton,150 S Los Robles,Located at valet and self parking,Pasadena,CA,91101,,626-577-1000,E,,Public,24 hours daily; for guest use only,,,,,,4,,,Non-Networked,,200-9,34.142973,-118.140553,2019-06-06,6508,2020-01-21 18:34:38 UTC,P,,,1997-08-31,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,
ELEC,Hyatt Regency Long Beach,200 S Pine Ave,,Long Beach,CA,90802,,562-491-1234,E,,Public,24 hours daily; pay lot; see valet for access,,,,,,1,,,Non-Networked,,GPS,33.7637,-118.192,2019-09-09,7172,2020-01-21 18:34:38 UTC,P,,,2012-05-04,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,
ELEC,Los Angeles International Airport (LAX) - Lot 6,1 World Way,Central Terminal Area (CTA) - P6,Los Angeles,CA,90045,,310-646-2911,E,,Public,24 hours daily; pay lot,,,,,,20,,,Non-Networked,,GPS,33.94325,-118.403342,2019-09-09,7184,2020-01-21 18:34:38 UTC,LG,,,1998-06-30,,,,,J1772,US,,,,Public,,public,,,AIRPORT,,,,,,,Free,,,,,,,,,
ELEC,Northridge Fashion Center - Yard House,9301 Tampa Ave,Located at Tampa & Nordhoff,Northridge,CA,91324,,818-885-9700,E,,Public,6am-12am daily,,,,,,2,,,Volta,https://voltacharging.com/,GPS,34.241116,-118.556708,2020-02-06,7192,2020-02-19 00:05:33 UTC,P,,,1998-05-30,,,,,J1772,US,,,,Public,,public,,,SHOPPING_MALL,,,,,,,Free,,,,,,,,,SOLAR
ELEC,Ontario Airport Hilton,700 N Haven Ave,,Ontario,CA,91764,,909-980-0400,E,,Public,24 hours daily; guest use only,,,,,,1,,,Non-Networked,,GPS,34.07122,-117.575,2019-09-09,7194,2020-01-21 18:34:38 UTC,P,,,1998-06-15,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,
ELEC,Courtyard Marriott - Oxnard Ventura,600 E Esplanade Dr,,Oxnard,CA,93030,,805-988-3600,E,,Public,24 hours daily; guest use only,,,,,,1,,,Non-Networked,,GPS,34.228315,-119.170865,2019-09-09,7195,2020-02-21 17:28:20 UTC,P,,,1998-05-30,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,
ELEC,Hilton - Palm Springs,400 E Tahquitz Canyon Way,,Palm Springs,CA,92262,,760-320-6868,E,,Public,24 hours daily; pay lot; priority given to registered guests,,,,,,1,,,Non-Networked,,GPS,33.823353,-116.5436,2019-09-09,7196,2020-01-21 18:34:38 UTC,P,,,2011-12-12,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,
ELEC,East Bay Mini,4340 Rosewood Dr,,Pleasanton,CA,94588,,925-251-7070,E,,Public,Dealership business hours,,,,,,2,,,Non-Networked,,200-8,37.700187,-121.876172,2019-10-04,7197,2020-01-21 18:34:38 UTC,P,,,2012-12-14,,,,,J1772,US,,,,Public,,public,,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,CNTYOFRIVERSIDE,3535 12th Street,"12TH ST PRKNG#1; -
12TH ST PRKNG#2; -
12TH ST PRKNG#3; Near main entrance off 12th street
12TH ST PRKNG#4; Near main entrance off 12th street",Riverside,CA,92501,,888-758-4389,E,,Public,24 hours daily,,,,,,6,,,ChargePoint Network,http://www.chargepoint.com/,200-8,33.977163,-117.374653,2020-02-14,7205,2020-02-14 10:15:20 UTC,,,,,,,,,J1772,US,,,,Public,,public,,,,,,,,,,"Pricing is based on length of time and kWh used. $0 per hour for the first 4 hours, and $2 per additional hour, $0.34 per kWh",,,,,,,,,
ELEC,Inland Empire Foods,5425 Wilson St,,Riverside,CA,92509,,951-682-8222,E,,Public,"24 hours M-Th, 12am-4:30pm F",,,,,,3,,,Non-Networked,,GPS,34.0189,-117.38,2019-11-08,7206,2020-01-21 18:34:38 UTC,P,,,1998-05-30,,,,,J1772,US,,,,Public,,public,,,OFFICE_BLDG,,,,,,,Free,,,,,,,,,
ELEC,Sacramento International Airport - Daily A Lot,Lindbergh Dr,,Sacramento,CA,95837,,916-874-0670,E,,Public,24 hours daily; pay lot,,,,,,4,,1 SP Inductive,Non-Networked,,GPS,38.69005,-121.58889,2019-09-09,7212,2020-01-21 18:34:38 UTC,P,,,1998-06-30,,,,,J1772,US,,,,Public,,public,,,AIRPORT,,,,,,,Free,,,,,,,,,
ELEC,City of Santa Monica - Airport,3223 Donald Douglas Loop,,Santa Monica,CA,90405,,310-458-8516,E,,Public,24 hours daily,,,,,,3,,,Non-Networked,,200-9,34.017563,-118.447475,2019-04-08,7229,2020-01-21 18:34:38 UTC,LG,,,1998-06-30,,,,,J1772,US,,,,Public,,public,,,AIRPORT,,,,,,,Free,,,,,,,,,SOLAR
ELEC,City of Santa Monica - Pier,200 Santa Monica Pier,,Santa Monica,CA,90405,,310-458-8516,E,,Public,24 hours daily; pay lot,,,,,,3,,,Non-Networked,,200-9,34.010021,-118.49583,2019-04-08,7230,2020-01-21 18:34:38 UTC,LG,,,1998-06-30,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,
ELEC,Westfield Fashion Square,14006 Riverside Dr,"level 1 of the Parking Garage near the main entrance, located across from 85°C Bakery Cafe",Sherman Oaks,CA,91423,,818-783-0550,E,,Public,6am-12am daily,,,,,,4,,,Volta,https://voltacharging.com/,GPS,34.156839,-118.434454,2020-02-06,7233,2020-02-19 00:05:33 UTC,P,,,1998-05-30,,,,,J1772,US,,,,Public,,public,,,SHOPPING_CENTER,,,,,,,Free,,,,,,,,,
ELEC,City of Temecula - 6th Street Lot,28462 Front St,Mercedes Street,Temecula,CA,92590,,951-694-6411,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,GPS,33.49605,-117.152,2019-08-08,7236,2020-01-21 18:34:38 UTC,LG,,,2011-12-31,,,,,J1772,US,,,,Public,,public,,,PARKING_LOT,,,,,,,Free,,,,,,,,,
ELEC,Van Nuys Amtrak/Metrolink Station,7724 Van Nuys Blvd,,Van Nuys,CA,91405,,800-371-5465,E,,Public,24 hours daily,,,,,,4,,,EV Connect,http://evconnect.com/,200-8,34.21108,-118.448704,2019-05-09,7245,2020-01-21 18:34:38 UTC,P,,,1998-06-30,,,,,J1772,US,,,,Public,,public,,,PARKING_LOT,,,,,,,Free,,,,,,,,,
ELEC,Office Max - Home Depot,7075 Firestone Blvd,,Downey,CA,90241,,562-806-6600,E,,Public,24 hours daily,,,,,,4,,,Non-Networked,,200-8,33.94756,-118.153806,2019-02-06,7250,2020-01-21 18:34:38 UTC,T,,,1998-06-15,,,,,J1772,US,,,,Public,,public,,,SHOPPING_CENTER,,,,,,,Free,,,,,,,,,
ELEC,City of Lancaster - City Hall,44933 Fern Ave,Located in the north side parking lot under the solar sun shade parking.,Lancaster,CA,93534,,661-723-6000,E,,Public,24 hours daily,,,,,,5,,,Non-Networked,,200-9,34.698914,-118.145218,2019-02-06,7275,2020-01-21 18:34:38 UTC,T,,,1998-06-30,,,,,J1772 TESLA,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,SOLAR
ELEC,Hyatt at Fisherman's Wharf,555 N Point St,,San Francisco,CA,94133,,415-563-1234,E,,Public,24 hours daily; pay lot; see valet for access,,,,,,1,,,Non-Networked,,GPS,37.80619,-122.4152,2019-09-09,7280,2020-01-21 18:34:38 UTC,P,,,1998-07-01,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,
ELEC,Palace Hotel,2 New Montgomery St,,San Francisco,CA,94105,,415-512-1111,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,GPS,37.78881,-122.401,2019-09-09,21358,2020-01-21 18:34:38 UTC,P,,,2002-01-31,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,$7 per session,,,,,,,,,
ELEC,Mark Hopkins InterContinental Hotel,999 California St,California at Mason,San Francisco,CA,94108,,415-392-3434,E,,Public,24 hours daily; for guest use only; see valet for access,,,,,,1,,,Non-Networked,,200-8,37.791791,-122.411265,2019-09-09,21360,2020-01-21 18:34:38 UTC,P,,,2002-01-31,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,,,,,,,,,,
ELEC,Ellis O'Farrell Garage,123 O'Farrell St,At Powell Street,San Francisco,CA,94102,,415-986-4800,E,,Public,24 hours daily; pay lot,,,,,,2,,,Non-Networked,,200-9,37.786061,-122.407088,2019-05-09,21367,2020-01-21 18:34:38 UTC,LG,,,2002-01-31,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,Free,,,,,,,,,
ELEC,Hotel Sofitel,8555 Beverly Blvd,,Los Angeles,CA,90048,,310-278-5444,E,,Public,24 hours daily; for guest use only; see valet for access,,,,,,2,,,Non-Networked,,GPS,34.07631,-118.377,2019-09-09,21368,2020-01-21 18:34:38 UTC,P,,,2002-01-31,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,
ELEC,Music Center Parking - Level 2,135 N Grand Ave,"Music Center Parking Lot 14, level 2",Los Angeles,CA,90012,,213-972-7211  323-267-2023,E,,Public,"Garage business hours; pay lot; keypad activated, instructions on EVSE",,,,,,2,,,Non-Networked,,200-9,34.055974,-118.248893,2019-12-12,21374,2020-01-21 18:34:38 UTC,P,,,2002-01-31,,,,,J1772,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,
ELEC,Balboa Golf Course,16821 Burbank Blvd,,Encino,CA,91436,,818-995-1170,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-8,34.169242,-118.497212,2019-02-06,21383,2020-01-21 18:34:38 UTC,P,,,1998-06-15,,,,,J1772,US,,,,Public,,public,,,REC_SPORTS_FACILITY,,,,,,,,,,,,,,,,
ELEC,Tops Auto Park Garage,6464 Sunset Blvd,,Hollywood,CA,90028,,,E,,Public - Call ahead,Primarily for permit holder; public use will be charged extra,,,,,,4,,,Non-Networked,,GPS,34.097928,-118.331,2019-12-12,21388,2020-01-21 18:34:38 UTC,P,,,2012-06-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,PARKING_GARAGE,,,,,,,Free for first 30 minutes; $10 after first 30,,,,,,,,,
ELEC,California State University - Northridge,18111 Nordhoff St,Lot G9 structure; Near Zelzah and Kenzie second level parking,Northridge,CA,91330,,818-677-1200,E,,Public,24 hours daily; parking permit required,,,,,,2,,,Non-Networked,,GPS,34.248959,-118.523887,2019-06-06,21395,2020-01-21 18:34:38 UTC,P,,,2002-01-15,,,,,J1772,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free,,,,,,,,,
ELEC,California State University - Northridge,18111 Nordhoff St,"Lot B4; Prairie St, near Darby Ave",Northridge,CA,91330,,818-677-1200,E,,Public,24 hours daily; parking permit required,,,,,,2,,,Non-Networked,,GPS,34.241687,-118.528543,2019-06-06,21396,2020-01-21 18:34:38 UTC,P,,,2002-01-15,,,,,J1772,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free,,,,,,,,,
ELEC,California State University - Northridge,18111 Nordhoff St,"Surface lot B2; West side of Etiwanda, South of Prairie",Northridge,CA,91330,,818-677-1200,E,,Public,24 hours daily; parking permit required,,,,,,4,,,Non-Networked,,GPS,34.236853,-118.532588,2019-06-06,21397,2020-01-21 18:34:38 UTC,P,,,2002-01-15,,,,,J1772,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free,,,,,,,,,
ELEC,Northridge Metrolink Station,8775 Wilbur Ave,,Northridge,CA,91324,,866-816-7584  800-371-5465,E,,Public,24 hours daily,,,,,,4,,,EV Connect,http://evconnect.com/,200-8,34.229277,-118.544827,2019-06-06,21398,2020-01-21 18:34:38 UTC,P,,,2019-04-01,,,,,J1772,US,,,,Public,,public,,,PARKING_LOT,,,,,,,,,,,,,,,,
ELEC,Los Angeles Harbor Department Headquarters,425 S Palos Verdes St,,San Pedro,CA,90731,,310-732-7678,E,,Public,8am-5pm daily,,,,,,4,,,Non-Networked,,200-9,33.740758,-118.28192,2019-11-08,21402,2020-01-21 18:34:38 UTC,P,,,2013-03-26,,,,,J1772,US,,,,Public,,public,,,PARKING_LOT,,,,,,,Free,,,,,,,,,
ELEC,City of Los Angeles - Constituent Service Center,8475 S Vermont Ave,,Los Angeles,CA,90044,,213-485-7616,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,200-8,33.961256,-118.29187,2019-03-07,21405,2020-01-21 18:34:38 UTC,P,,,2002-01-31,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,
ELEC,Sylmar Metrolink Station,Village Way Dr,,San Fernando,CA,91342,,866-816-7584  818-237-7641,E,,Public,24 hours daily,,,,,,4,,,EV Connect,http://evconnect.com/,GPS,34.2924134,-118.4497914,2019-06-06,21414,2020-01-21 18:34:38 UTC,P,,,2019-04-01,,,,,J1772,US,,,,Public,,public,,,PARKING_LOT,,,,,,,Free,,,,,,,,,
ELEC,Getty Center,1200 Getty Center Dr,Eight Level 2 and four Level 1 chargers located in P2 of main parking area. Eight Level 2 and eight Level 1 chargers located at Top of Hill Parking.,Los Angeles,CA,90049,,310-440-7300,E,,Public,Garage business hours; pay lot,,,,,12,16,,,Non-Networked,,200-9,34.077588,-118.474585,2019-05-09,21419,2020-01-21 18:34:38 UTC,P,,,2013-07-01,,,,,J1772 NEMA520,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,Free,,,,,,,,,
ELEC,Los Angeles County - Arboretum,301 N Baldwin Ave,Located in parking lot directly across from Harvard Dr,Arcadia,CA,91007,,323-267-2023,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,200-8,34.142727,-118.051275,2019-12-12,21450,2020-01-21 18:34:38 UTC,P,,,2014-06-01,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,
ELEC,City of Glendora - City Hall,114 S Vista Bonita Ave,Located across the street from City Hall,Glendora,CA,91741,,626-914-8200,E,,Public,24 hours daily,,,,,,3,,,Non-Networked,,GPS,34.13556,-117.864,2019-12-12,21498,2020-01-21 18:34:38 UTC,LG,,,2002-04-30,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,
ELEC,DoubleTree Hotel - Los Angeles - Westside,6161 Centinela Ave,,Culver City,CA,90230,,310-649-1776,E,,Public,24 hours daily; guest use only,,,,,,2,,,Non-Networked,,GPS,33.9826,-118.3966,2020-02-06,21524,2020-02-06 21:24:11 UTC,P,,,2019-12-31,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,
ELEC,Helms Bakery Building,8800 Venice Blvd,,Los Angeles,CA,90034,,310-204-1865,E,,Public,24 hours daily,,,,,,6,,,Non-Networked,,200-9,34.029971,-118.385231,2019-03-07,21525,2020-01-21 18:34:38 UTC,P,,,2017-04-25,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,$1 per hour for first two hours; $3 per hour thereafter,,,,,,,,,
ELEC,Westfield MainPlace Mall,2800 N Main St,"Located in parking structure 5, near the food court, and near the 24 Hour Fitness",Santa Ana,CA,92705,,714-547-7800,E,,Public,6am-12am daily,,,,,,6,,,Non-Networked,,GPS,33.777054,-117.870566,2020-02-06,21535,2020-02-06 21:24:11 UTC,P,,,2002-05-30,,,,,J1772,US,,,,Public,,public,,,SHOPPING_MALL,,,,,,,Free,,,,,,,,,
ELEC,CITY OF SB EV2,1115 Anacapa St,"STATION 3
STATION 4",Santa Barbara,CA,93101,,888-758-4389,E,,Public,24 hours daily,,,,,2,2,,,ChargePoint Network,http://www.chargepoint.com/,200-8,34.423495,-119.70228,2020-02-14,21557,2020-02-14 10:15:20 UTC,,,,,,,,,J1772 NEMA520,US,,,,Public,,public,,,,,,,,,,Pricing is based on time of day. $0.35 per kWh from 4:00 PM to 9:00 PM,,,,,,,,,
ELEC,California State University - Channel Islands,1 University Dr,Located in lot A3,Camarillo,CA,93012,,805-437-8400,E,,Public,24 hours daily,,,,,,5,,,Non-Networked,,200-8,34.165493,-119.04505,2019-11-08,21559,2020-01-21 18:34:38 UTC,P,,,2002-05-30,,,,,J1772,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free,,,,,,,,,
ELEC,Brea Downtown Parking,101 S Brea Blvd,,Brea,CA,92821,,714-990-7650,E,,Public,Garage business hours; 4 hour parking limit,,,,,,4,,1 SP Inductive,Non-Networked,,200-8,33.919899,-117.898618,2019-09-09,21561,2020-01-21 18:34:38 UTC,LG,,,2002-05-30,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,Free,,,,,,,,,
ELEC,Home Depot,2745 Teller Rd,In front of garden center,Newbury Park,CA,91320,,805-375-6680,E,,Public,24 hours daily,,,,,4,2,,,Non-Networked,,200-8,34.18997,-118.934393,2019-05-09,21565,2020-01-21 18:34:38 UTC,P,,,2002-05-15,,,,,J1772 NEMA515,US,,,,Public,,public,,,SHOPPING_CENTER,,,,,,,Free,,,,,,,,,
ELEC,Lake Casitas Municipal Water District - Recreational Area,Casitas Pass Rd & Baldwin Rd,Baldwin Road/Casitas Pass Road,Oak View,CA,93022,,805-649-2233,E,,Public - Call ahead,8am-5pm daily,,,,,,1,,,Non-Networked,,GPS,34.418322,-119.3368,2019-02-06,21566,2020-01-21 18:34:38 UTC,P,,,2002-05-30,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,PARK,,,,,,,Free,,,,,,,,,
ELEC,San Dimas Park & Ride,205 S San Dimas Ave,Bonita Ave and San Dimas Ave,San Dimas,CA,91773,,909-394-6271,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,200-9,34.105203,-117.807471,2019-11-08,21569,2020-01-21 18:34:38 UTC,P,,,2002-05-30,,,,,J1772,US,,,,Public,,public,,,PARKING_LOT,,,,,,,Free,,,,,,,,,
ELEC,City of Pasadena - El Molino Lot,100 N El Molino Ave,,Pasadena,CA,91101,,626-744-7665,E,,Public,24 hours daily; pay lot,,,,,,2,,,Non-Networked,,200-8,34.147697,-118.136897,2019-05-09,21594,2020-01-21 18:34:38 UTC,LG,,,2002-05-30,,,,,J1772,US,,,,Public,,public,,,PARKING_LOT,,,,,,,Free,,,,,,,,,
ELEC,Ventura County Government Center,800 S Victoria Ave,,Ventura,CA,93009,,888-758-4389,E,,Public,8am-5pm daily,,,,,,4,,,Non-Networked,,GPS,34.267352,-119.2124,2019-11-08,21606,2020-01-21 18:34:38 UTC,LG,,,2012-10-19,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,
ELEC,Ventura County Air Pollution Control District,669 County Square Dr,,Ventura,CA,93003,,805-645-1400,E,,Public,8am-5pm daily,,,,,,3,,,Non-Networked,,GPS,34.268756,-119.2154,2019-11-08,21607,2020-01-21 18:34:38 UTC,LG,,,2012-10-18,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,
ELEC,Pacific View Mall,3295 E Main St,,Ventura,CA,93003,,805-642-5530,E,,Public,24 hours daily,,,,,,2,,1 SP Inductive,Non-Networked,,GPS,34.268,-119.2492,2019-04-08,21608,2020-01-21 18:34:38 UTC,P,,,2002-05-30,,,,,J1772,US,,,,Public,,public,,,SHOPPING_MALL,,,,,,,,,,,,,,,,
ELEC,University of California - Davis Extension,1441 Research Park Dr,,Davis,CA,95616,,530-752-8277,E,,Public,24 hours daily,,,,,1,3,,,Non-Networked,,200-9,38.539118,-121.732015,2019-11-08,21673,2020-01-21 18:34:38 UTC,SG,,,2004-06-01,,,,,J1772 NEMA520,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,$9 parking fee,,,,,,,,,
ELEC,San Luis Obispo County Air Pollution Control District,3433 Roberto Ct,,San Luis Obispo,CA,93401,,805-781-5912,E,,Public,8am-5pm M-F; see front desk for code,,,,,1,1,,,Non-Networked,,GPS,35.25939,-120.64492,2019-05-09,21713,2020-01-21 18:34:38 UTC,LG,,,2002-07-15,,,,,J1772 NEMA520,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,
ELEC,Soquel & Front Garage,601 Front St,,Santa Cruz,CA,95061,,831-420-5184,E,,Public,24 hours daily,,,,,,5,,,Non-Networked,,200-9,36.973393,-122.024849,2019-08-08,21794,2020-01-21 18:34:38 UTC,P,,,1998-06-30,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,Free,,,,,,,,,
ELEC,Fair Oaks - Orangevale - Community Library,11601 Fair Oaks Blvd,,Fair Oaks,CA,95628,,916-264-2700,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,GPS,38.66292,-121.2634,2019-09-09,25491,2020-01-21 18:34:38 UTC,LG,,,2004-06-01,,,,,J1772,US,,,,Public,,public,,,PARKING_LOT,,,,,,,Free,,,,,,,,,
